group_id,course_name,start_date,end_date,gender,background_level,age,exam_1_score,exam_2_score,exam_3_score,homework_submission_rate,practice_participation_rate,lecture_attendance_rate,self_study_hours_per_week,video_lecture_engagement_level,assigned_readings_completion_level,asked_questions_flag,requested_help,effort_index,failures,continued_after_failure,focus_level,has_a_job,also_studies_in_uni,daily_screen_time_hours,travel_time_minutes,smoking_and_breaks_level,health_rating,wants_higher_education,freetime_rating,weekday_alcohol_usage,stress_level,sleep_hours,parental_education,device_access_score,peer_support_level
Wave_4,Web,Mar 2025,Mar 2026,F,intermediate,19,44.91,95.25,42.37,0.86,0.34,0.53,2.4,sometimes,all,0,1,0.46,0,0,2,0,1,9.3,46,none,1,0,5,3,4,7.8,school,0.4,2
Wave_1,DevHack,Sep 2023,Sep 2024,M,advanced,33,92.41,92.19,82.33,0.79,0.67,0.53,3.5,mostly,mostly,1,1,0.54,2,1,5,0,0,7.1,44,none,4,0,2,2,1,6.3,school,0.7,2
Wave_4,DevHack,Mar 2025,Mar 2026,M,advanced,25,95.25,71.13,95.51,0.45,0.96,0.77,19.4,mostly,partial,1,0,0.79,0,1,1,0,0,7,81,none,2,0,1,2,5,8.2,school,0.91,4
Wave_4,AI,Mar 2025,Mar 2026,F,beginner,30,43.66,75.48,50.83,0.36,0.33,1,7.3,sometimes,all,0,1,0.51,0,1,4,0,0,5.2,46,light,4,0,5,2,3,4.6,school,0.71,5
Wave_4,C++,Mar 2025,Mar 2026,F,advanced,18,56.61,63.94,74.08,0.78,0.39,0.76,15.8,every_lecture,partial,0,0,0.68,0,1,1,0,1,8,51,light,3,1,2,1,4,5.3,higher,0.8,2
Wave_3,AI,Sep 2024,Sep 2025,M,intermediate,33,88.37,43.29,94.93,0.76,0.62,0.69,13.2,never,all,0,1,0.68,1,0,2,1,0,6.3,41,none,3,1,4,4,5,8.1,school,0.56,2
Wave_2,C++,Mar 2024,Mar 2025,F,advanced,24,84.9,60.11,42.04,0.49,0.95,0.81,8.9,mostly,partial,0,1,0.67,0,1,2,1,1,7.4,84,light,5,0,2,1,3,5.9,school,0.36,4
Wave_1,AI,Sep 2023,Sep 2024,M,advanced,22,51.07,88.17,81.85,0.97,0.52,0.63,5.7,every_lecture,mostly,0,1,0.6,0,1,5,1,0,5.4,26,none,5,1,3,4,2,8.9,higher,0.62,4
Wave_2,Web,Mar 2024,Mar 2025,M,beginner,20,52.56,40.28,57.84,0.41,0.66,0.34,4.2,mostly,mostly,0,1,0.4,2,1,5,1,0,7.9,61,none,5,1,2,2,4,6.3,higher,0.58,5
Wave_4,Web,Mar 2025,Mar 2026,M,beginner,29,62.23,60.01,95.46,0.6,0.33,0.69,13.1,every_lecture,none,1,1,0.57,1,1,2,0,0,8.6,88,none,1,0,3,3,2,8,school,0.91,1
Wave_4,DevHack,Mar 2025,Mar 2026,F,beginner,33,69.07,63.89,98.26,0.96,0.4,0.97,15.9,never,partial,1,1,0.78,0,1,4,1,1,3.2,31,light,5,0,2,5,1,6,school,0.47,1
Wave_2,DevHack,Mar 2024,Mar 2025,F,intermediate,22,77.1,72.24,96.66,0.59,0.99,0.42,13.6,mostly,none,0,1,0.67,3,1,1,1,0,8.7,45,frequent,1,0,3,5,2,6.1,school,0.98,3
Wave_2,AI,Mar 2024,Mar 2025,F,advanced,31,62.13,95.19,68.45,0.75,0.98,0.78,11.5,sometimes,mostly,1,1,0.77,0,1,3,0,1,6.3,84,none,5,0,4,2,2,5.9,none,0.97,2
Wave_2,C++,Mar 2024,Mar 2025,F,advanced,22,67.75,60.78,91.72,0.58,0.3,0.44,2.8,mostly,partial,0,0,0.36,1,1,5,1,0,8.8,38,light,1,0,5,1,4,7.6,school,0.47,5
Wave_4,AI,Mar 2025,Mar 2026,F,beginner,32,84.85,60.82,90.67,0.49,0.97,0.68,19.4,every_lecture,mostly,1,1,0.78,0,1,3,0,0,5.5,36,light,4,1,3,3,1,6.7,none,0.54,2
Wave_4,C++,Mar 2025,Mar 2026,M,intermediate,34,42.2,84.25,59.15,0.99,0.75,0.37,16.4,sometimes,partial,0,1,0.73,0,1,4,1,0,5,70,none,4,0,3,4,2,8.7,school,0.93,5
Wave_1,C++,Sep 2023,Sep 2024,M,intermediate,31,55.15,67.13,89.73,0.59,0.91,0.62,7.3,mostly,partial,1,1,0.62,1,1,5,1,0,9.3,16,light,3,1,4,2,5,5.3,higher,0.98,5
Wave_1,Web,Sep 2023,Sep 2024,M,beginner,22,82.8,53.48,42.22,0.93,0.62,0.83,19.6,sometimes,mostly,1,1,0.84,0,0,3,0,1,4,44,none,1,1,3,3,3,4.5,higher,0.61,5
Wave_4,Web,Mar 2025,Mar 2026,M,beginner,29,93.71,67.15,75.78,0.46,0.66,0.54,12.8,mostly,none,1,1,0.58,1,1,4,1,1,8.8,77,none,2,1,1,3,2,6,school,0.52,2
Wave_2,Web,Mar 2024,Mar 2025,F,beginner,33,70.7,48.45,53.8,0.45,0.64,0.77,12.5,mostly,all,1,0,0.62,0,1,1,1,1,5.9,80,frequent,3,1,4,4,1,7.1,school,0.67,4
Wave_2,DevHack,Mar 2024,Mar 2025,M,advanced,13,71.93,50.58,47.23,0.32,0.77,0.86,15.5,every_lecture,all,0,0,0.68,0,1,4,1,1,6.1,77,frequent,4,0,1,3,2,8.3,school,0.78,2
Wave_1,DevHack,Sep 2023,Sep 2024,F,beginner,24,46.43,69.9,44.62,0.76,0.4,0.95,16.6,mostly,mostly,1,1,0.74,0,1,5,0,0,4.5,14,frequent,1,1,4,1,3,5.7,higher,0.49,5
Wave_4,DevHack,Mar 2025,Mar 2026,M,intermediate,21,66.84,65.14,81.78,0.56,0.32,0.46,13.8,sometimes,mostly,0,1,0.51,0,1,2,1,0,6.6,52,none,5,1,3,1,1,7.3,school,0.82,3
Wave_1,AI,Sep 2023,Sep 2024,F,intermediate,18,71.96,94.89,60.39,0.91,0.52,0.58,4.3,sometimes,all,0,1,0.56,0,1,1,0,1,4.6,24,none,2,0,1,1,4,5.8,none,0.34,1
Wave_1,C++,Sep 2023,Sep 2024,F,beginner,22,54.55,61.74,83.49,0.63,0.79,0.41,8.1,sometimes,partial,0,1,0.56,1,1,3,0,0,2.3,43,light,4,0,3,3,1,7.1,school,0.33,5
Wave_3,C++,Sep 2024,Sep 2025,M,advanced,27,56.15,74.84,43.92,0.98,0.44,0.99,18.7,sometimes,none,1,1,0.84,1,1,5,0,1,4.2,64,light,3,1,4,1,4,8.4,school,0.57,3
Wave_3,Web,Sep 2024,Sep 2025,M,advanced,22,62.64,77.94,58.92,0.43,0.77,0.95,6,sometimes,partial,0,1,0.61,0,1,2,1,1,2.1,70,none,1,1,3,4,1,5.2,school,0.55,4
Wave_3,DevHack,Sep 2024,Sep 2025,M,beginner,21,41.2,40.79,72.37,0.91,0.98,0.68,8.7,every_lecture,mostly,1,0,0.75,0,1,4,1,0,9.8,69,light,2,1,1,3,3,6,higher,0.52,5
Wave_2,AI,Mar 2024,Mar 2025,M,intermediate,19,59.32,79.81,87.44,0.84,0.37,0.89,9.8,mostly,none,1,0,0.65,0,1,2,1,1,9.7,55,none,1,1,1,5,3,9,school,0.64,3
Wave_4,AI,Mar 2025,Mar 2026,F,beginner,27,52.69,50.68,59.13,0.84,0.77,0.66,9.9,mostly,mostly,1,1,0.69,1,1,5,1,0,5.2,40,frequent,5,1,3,3,1,8.3,school,0.52,5
Wave_4,C++,Mar 2025,Mar 2026,M,beginner,18,59.65,97.66,77.55,0.89,0.61,0.74,13,sometimes,all,1,1,0.72,0,1,5,0,0,7.8,28,none,3,0,2,4,2,6.8,school,0.43,2
Wave_4,Web,Mar 2025,Mar 2026,M,beginner,22,47.19,48.92,93.16,0.83,0.91,0.36,19,every_lecture,all,1,0,0.76,3,1,2,0,0,4.8,31,light,1,1,4,5,3,6.6,none,0.52,3
Wave_4,DevHack,Mar 2025,Mar 2026,F,intermediate,30,93.43,64.88,76.95,0.74,0.42,0.83,6.3,mostly,mostly,0,1,0.58,1,1,4,0,0,7.4,6,none,4,0,4,3,4,5.4,higher,0.98,2
Wave_3,AI,Sep 2024,Sep 2025,M,intermediate,21,75.62,45.12,53.98,0.39,0.78,0.39,4.2,never,none,0,1,0.44,0,1,2,0,0,8.4,35,light,3,0,3,1,4,6.6,higher,0.59,2
Wave_2,C++,Mar 2024,Mar 2025,M,beginner,33,80.75,99.81,41.46,0.32,0.89,0.88,5.6,mostly,all,0,1,0.59,0,1,5,0,0,9.6,61,light,4,1,2,2,5,8.2,higher,0.61,3
Wave_2,Web,Mar 2024,Mar 2025,M,beginner,33,87.35,70.13,92.21,0.94,0.96,0.85,18,mostly,mostly,0,1,0.91,0,0,5,0,1,5.2,82,none,1,1,1,2,4,7.4,higher,0.7,1
Wave_3,C++,Sep 2024,Sep 2025,M,advanced,19,69.91,75.72,41.28,0.73,0.78,0.8,13.6,never,partial,0,1,0.75,0,1,3,0,1,8.3,70,frequent,3,1,5,1,5,5.5,school,0.99,3
Wave_2,DevHack,Mar 2024,Mar 2025,M,beginner,34,45.22,44.02,92.48,0.86,0.65,0.33,7.1,mostly,none,0,0,0.55,0,1,3,0,0,4.1,33,frequent,4,1,5,2,1,5,none,0.47,1
Wave_3,Web,Sep 2024,Sep 2025,F,beginner,29,72.23,85,71.74,0.64,0.73,0.51,16.7,mostly,all,1,1,0.68,1,1,1,0,0,9.9,19,frequent,5,1,3,2,1,5.3,school,0.78,5
Wave_4,AI,Mar 2025,Mar 2026,M,intermediate,20,75.21,52.59,96.34,0.38,0.91,0.48,17.5,sometimes,mostly,1,1,0.66,0,0,5,0,1,2.2,16,frequent,5,0,2,1,1,4.8,higher,0.8,5
Wave_3,DevHack,Sep 2024,Sep 2025,M,advanced,18,84.73,93.88,87.93,0.39,0.7,0.55,17.2,every_lecture,all,0,0,0.62,0,1,3,1,0,6.8,32,light,1,0,2,1,2,4.5,school,0.73,3
Wave_4,C++,Mar 2025,Mar 2026,M,beginner,18,65.9,52.31,99.88,0.78,0.32,0.36,18.5,every_lecture,all,1,1,0.6,1,1,2,1,0,7.3,88,frequent,3,0,4,3,2,6.1,none,0.36,5
Wave_4,Web,Mar 2025,Mar 2026,M,intermediate,28,47.65,51.44,61.04,0.6,0.95,0.96,6.5,mostly,mostly,0,1,0.71,0,0,4,1,0,7.5,28,none,2,1,1,3,5,4.6,higher,0.77,4
Wave_1,Web,Sep 2023,Sep 2024,M,intermediate,22,57.03,42.19,86.03,0.44,0.78,0.69,15.6,mostly,mostly,1,1,0.67,2,1,2,0,0,3,25,none,3,1,2,1,4,4.9,none,0.34,2
Wave_3,AI,Sep 2024,Sep 2025,F,beginner,29,61.78,68.32,64.12,0.64,0.77,0.51,10.3,mostly,mostly,1,1,0.61,1,1,4,0,0,9.5,14,none,5,1,5,4,4,6.7,school,0.72,2
Wave_1,DevHack,Sep 2023,Sep 2024,M,intermediate,20,78.76,73.89,68.79,0.34,0.45,0.58,17.2,mostly,partial,1,0,0.56,1,0,3,1,1,3.4,82,none,4,1,1,2,1,4.8,school,0.82,1
Wave_3,C++,Sep 2024,Sep 2025,F,beginner,18,74.25,43.94,77.65,0.71,0.76,0.61,15.1,mostly,mostly,1,1,0.71,1,1,1,0,0,7,22,none,2,1,1,3,3,4.3,school,0.45,5
Wave_3,Web,Sep 2024,Sep 2025,F,intermediate,18,61.37,86.53,92.42,0.49,0.58,0.72,16,never,mostly,1,1,0.65,0,1,2,0,0,3.8,18,none,1,0,3,2,2,5.6,none,0.89,1
Wave_1,AI,Sep 2023,Sep 2024,M,intermediate,25,99.19,67.2,99.05,0.86,0.76,0.66,13.8,mostly,mostly,1,1,0.74,0,1,2,0,0,4.5,38,frequent,2,0,2,5,2,5.1,higher,0.32,2
Wave_1,C++,Sep 2023,Sep 2024,M,intermediate,27,76.35,71.46,86.1,0.52,0.37,0.94,5.2,every_lecture,all,1,0,0.52,0,1,2,0,0,6.4,62,none,1,1,3,1,1,6.6,school,0.89,2
Wave_3,DevHack,Sep 2024,Sep 2025,M,beginner,28,54.23,66.45,65.07,0.62,0.76,0.65,11.8,mostly,mostly,1,1,0.66,0,0,4,0,0,5.3,80,none,2,1,2,4,2,4.5,higher,0.62,5
Wave_2,AI,Mar 2024,Mar 2025,M,advanced,29,46.11,64.05,65.28,0.31,1,0.99,19.7,never,mostly,1,1,0.82,1,0,3,0,1,3.3,26,light,1,1,4,5,1,7.8,school,0.45,4
Wave_4,DevHack,Mar 2025,Mar 2026,F,beginner,30,49.17,73.58,84.25,0.35,0.33,0.9,18.9,mostly,mostly,0,0,0.63,0,0,2,1,1,3.4,74,none,1,0,3,5,5,8.5,none,0.39,4
Wave_1,Web,Sep 2023,Sep 2024,M,beginner,29,54.76,49.31,54.33,0.57,0.98,0.45,2.8,sometimes,mostly,0,0,0.53,0,0,2,0,0,5.3,40,frequent,2,1,3,5,4,7.7,higher,0.97,5
Wave_4,AI,Mar 2025,Mar 2026,M,beginner,31,49.64,50.92,46.63,0.64,0.58,0.95,5,sometimes,mostly,0,1,0.6,0,1,1,0,1,8.1,49,none,2,1,5,1,3,6.7,school,0.35,5
Wave_2,C++,Mar 2024,Mar 2025,M,intermediate,19,51.19,91.71,61.28,0.72,0.91,0.38,4.4,sometimes,partial,1,1,0.56,1,1,1,1,1,9.2,40,frequent,1,0,3,3,4,8.3,school,0.44,1
Wave_2,Web,Mar 2024,Mar 2025,M,intermediate,20,57.11,96.77,57.23,0.5,0.85,0.87,15.1,sometimes,mostly,1,1,0.74,0,1,3,0,1,2.7,26,frequent,5,1,2,1,4,7.5,higher,0.54,5
Wave_2,DevHack,Mar 2024,Mar 2025,M,beginner,34,50.4,62.4,57.78,0.79,0.7,0.57,16.7,mostly,partial,0,1,0.72,0,1,3,0,0,5.1,82,none,2,1,5,3,5,4.1,school,0.73,4
Wave_1,DevHack,Sep 2023,Sep 2024,M,intermediate,25,93.81,56.24,54.02,0.9,0.82,0.91,5.8,mostly,partial,1,1,0.73,0,0,5,1,0,2.8,84,none,3,1,3,5,2,6,school,0.68,5
Wave_2,AI,Mar 2024,Mar 2025,F,beginner,27,44.81,78.64,42.53,0.85,0.91,0.91,11.1,sometimes,mostly,1,1,0.81,0,1,1,0,0,2.1,65,frequent,4,0,3,5,3,8.3,none,0.39,1
Wave_1,AI,Sep 2023,Sep 2024,F,intermediate,19,71.47,64.52,41.07,0.33,0.58,0.86,17.1,every_lecture,mostly,1,0,0.66,2,1,5,0,0,7.3,60,light,1,1,4,4,2,5.7,school,0.5,1
Wave_2,C++,Mar 2024,Mar 2025,M,beginner,26,64.62,41.52,99.26,0.64,0.53,0.85,15.2,every_lecture,all,1,1,0.7,1,1,4,0,0,6.8,37,light,1,1,3,3,4,4.2,school,0.47,1
Wave_4,C++,Mar 2025,Mar 2026,M,intermediate,24,98.94,49.37,65.67,0.37,0.77,0.51,11.8,every_lecture,mostly,1,0,0.56,1,1,5,0,0,3.3,49,frequent,4,1,1,5,1,7.7,school,0.45,1
Wave_4,Web,Mar 2025,Mar 2026,M,beginner,21,46.72,82.96,63.06,0.47,0.87,0.36,12.6,sometimes,mostly,0,1,0.58,0,1,2,0,1,3.9,40,none,5,1,5,2,4,8,higher,0.59,3
Wave_3,AI,Sep 2024,Sep 2025,F,advanced,30,63.87,79.54,80.78,0.99,0.83,0.58,11.2,mostly,mostly,1,0,0.74,0,1,5,1,1,2.2,24,none,4,1,1,4,2,4.8,higher,0.79,5
Wave_4,DevHack,Mar 2025,Mar 2026,M,beginner,28,98.17,41.63,53.1,0.4,0.86,0.42,7.4,every_lecture,mostly,0,0,0.51,1,1,3,0,1,8.7,22,none,2,1,5,1,4,6.7,school,0.45,2
Wave_3,C++,Sep 2024,Sep 2025,F,beginner,21,91.93,53.32,97,0.65,0.6,0.79,12.2,mostly,none,1,1,0.66,0,1,4,0,0,9.8,42,frequent,4,1,4,4,1,5,none,0.56,5
Wave_4,AI,Mar 2025,Mar 2026,M,beginner,14,89.02,53.86,87.18,0.73,0.87,0.54,14.4,never,partial,0,0,0.72,0,1,2,0,0,3.1,71,light,1,1,3,2,5,7.6,none,0.57,3
Wave_1,C++,Sep 2023,Sep 2024,M,advanced,27,55.47,80.31,45.36,0.79,0.38,0.98,17.7,never,partial,1,1,0.76,3,1,5,0,0,3.9,27,none,4,0,3,3,2,5.4,school,0.98,1
Wave_4,C++,Mar 2025,Mar 2026,M,advanced,22,50.25,41.18,65.05,0.69,0.68,0.75,13.5,mostly,mostly,1,0,0.7,0,1,4,1,0,8.9,20,none,3,1,3,1,4,5.6,school,0.97,3
Wave_3,Web,Sep 2024,Sep 2025,M,beginner,26,80.12,46.25,92.75,0.31,0.3,0.88,15.7,every_lecture,none,0,1,0.57,0,1,4,0,0,9.4,63,none,2,0,5,1,2,8.2,higher,0.86,4
Wave_3,DevHack,Sep 2024,Sep 2025,F,intermediate,20,95.76,87.99,96.68,0.53,0.53,0.39,4.9,mostly,partial,1,1,0.42,1,1,2,0,0,5.4,73,none,4,1,3,3,5,6.4,higher,0.47,4
Wave_2,Web,Mar 2024,Mar 2025,F,advanced,34,73.41,50.71,68.04,0.66,0.56,0.9,10.3,mostly,partial,1,0,0.66,0,1,5,0,0,2.4,72,light,1,1,1,4,4,7.3,school,0.35,5
Wave_1,Web,Sep 2023,Sep 2024,M,intermediate,20,74.3,79.16,76.8,0.36,0.58,0.95,2.2,sometimes,all,1,0,0.5,1,1,4,0,1,2.3,25,light,2,1,3,5,4,6,school,0.52,5
Wave_4,Web,Mar 2025,Mar 2026,M,intermediate,33,56.8,54.29,50.02,0.55,0.79,0.64,6.4,mostly,partial,1,1,0.57,1,1,4,0,0,6.6,82,frequent,1,1,4,4,2,5.5,school,0.49,2
Wave_2,DevHack,Mar 2024,Mar 2025,F,beginner,21,86.17,45.97,99.47,0.32,0.57,0.72,15.1,every_lecture,mostly,1,1,0.59,1,1,1,1,1,5.1,82,light,5,1,1,2,2,7.1,none,0.65,2
Wave_4,DevHack,Mar 2025,Mar 2026,F,beginner,34,51.22,54.59,53.9,0.36,0.61,0.84,19.9,sometimes,partial,0,1,0.7,0,0,4,0,0,2.2,74,none,3,0,3,5,1,4.8,school,0.84,4
Wave_4,AI,Mar 2025,Mar 2026,F,advanced,24,59.42,83.34,96.56,0.58,0.47,0.42,3.8,mostly,mostly,0,1,0.41,0,1,1,0,0,6.7,16,light,5,1,3,4,5,5.9,higher,0.9,1
Wave_2,AI,Mar 2024,Mar 2025,F,advanced,22,65.53,91.34,78.98,0.39,0.56,0.65,9.2,every_lecture,partial,0,1,0.52,0,1,5,0,0,2.1,20,frequent,3,1,2,3,1,5,school,0.89,3
Wave_2,C++,Mar 2024,Mar 2025,M,intermediate,29,70.46,89.81,76.46,0.7,0.46,0.58,16.4,sometimes,partial,1,0,0.64,1,1,5,1,0,8.3,85,light,4,0,5,2,4,7.5,higher,0.55,2
Wave_2,Web,Mar 2024,Mar 2025,F,beginner,34,54.54,63.83,70.76,0.78,0.35,0.4,5.7,mostly,mostly,0,1,0.45,0,0,5,0,0,4.5,18,frequent,2,0,1,2,2,8.7,school,0.78,2
Wave_2,DevHack,Mar 2024,Mar 2025,M,beginner,30,46.89,80.09,53.84,0.86,0.72,0.56,12,sometimes,none,1,1,0.68,0,1,3,1,0,2.3,65,light,4,1,2,2,4,9,school,0.52,1
Wave_2,AI,Mar 2024,Mar 2025,F,intermediate,20,76.64,52.3,50.59,0.44,0.77,0.35,15.2,mostly,none,1,1,0.58,0,1,5,1,0,6.7,75,light,3,1,4,5,4,6.3,school,0.34,1
Wave_4,C++,Mar 2025,Mar 2026,F,advanced,26,57.32,57.59,53.23,0.42,0.73,0.32,13.1,mostly,partial,1,1,0.53,0,1,4,1,0,5.2,50,light,3,1,5,1,3,5.3,school,0.79,5
Wave_2,C++,Mar 2024,Mar 2025,F,advanced,34,74.87,93.78,51.19,0.37,0.62,0.39,5.4,mostly,none,1,1,0.41,2,1,2,0,0,9.8,36,none,3,1,1,5,3,6.2,none,0.31,3
Wave_1,DevHack,Sep 2023,Sep 2024,F,intermediate,34,49.26,40.78,86.78,0.75,0.57,0.97,8.4,mostly,partial,1,1,0.68,1,1,1,0,1,6.4,19,none,1,0,3,4,4,8.2,school,0.59,1
Wave_3,AI,Sep 2024,Sep 2025,F,intermediate,33,68.87,45.13,61.01,0.79,0.9,0.68,16.1,sometimes,partial,1,1,0.79,2,1,3,1,0,4.2,48,none,2,1,1,1,2,5,higher,0.53,2
Wave_2,Web,Mar 2024,Mar 2025,M,beginner,30,71.96,52.47,43.47,0.32,0.66,0.98,12,every_lecture,all,1,1,0.64,1,1,5,1,1,7.7,21,light,4,1,3,4,4,8.8,school,0.79,2
Wave_2,DevHack,Mar 2024,Mar 2025,M,beginner,34,43.11,41.59,98.15,0.96,0.64,0.6,2.1,mostly,mostly,1,1,0.58,1,0,5,1,0,4.2,45,none,4,1,5,1,3,5.7,school,0.84,4
Wave_4,Web,Mar 2025,Mar 2026,F,advanced,21,60.2,50.89,93.03,0.34,0.32,0.52,15.7,sometimes,mostly,1,0,0.49,0,1,2,0,1,9.2,58,light,5,1,3,5,2,8.9,higher,0.51,1
Wave_2,AI,Mar 2024,Mar 2025,F,intermediate,29,48.06,74.98,95.67,0.68,0.54,0.65,2.6,mostly,partial,1,0,0.5,0,0,2,0,1,5,48,frequent,3,1,4,2,4,8.2,higher,0.87,5
Wave_2,C++,Mar 2024,Mar 2025,M,beginner,26,43.8,65.29,99.69,0.8,0.57,0.61,15.4,mostly,all,0,1,0.69,2,1,3,0,0,6.4,9,none,3,1,3,3,5,8,higher,0.51,3
Wave_2,Web,Mar 2024,Mar 2025,F,beginner,29,99.4,93.56,50.43,0.91,0.58,0.37,5.6,sometimes,partial,0,1,0.53,1,1,1,1,0,2.4,31,light,3,1,4,2,5,5.6,school,0.61,5
Wave_4,DevHack,Mar 2025,Mar 2026,F,intermediate,26,59.34,89.05,63.77,0.8,0.71,0.75,19.2,every_lecture,none,1,0,0.8,1,0,5,0,1,5.4,82,frequent,4,0,5,5,4,4,higher,0.81,2
Wave_2,DevHack,Mar 2024,Mar 2025,M,beginner,24,88.59,60.51,85.49,0.86,0.67,0.45,8.6,every_lecture,mostly,1,0,0.6,0,0,3,0,0,8.7,83,none,5,1,5,1,2,5.9,school,0.79,5
Wave_3,C++,Sep 2024,Sep 2025,F,beginner,31,55.28,55.57,81.76,0.54,0.73,0.73,7.9,sometimes,partial,1,0,0.6,0,0,4,1,0,8.4,47,none,1,1,1,2,4,5.5,school,0.99,2
Wave_4,AI,Mar 2025,Mar 2026,F,intermediate,32,80.89,62.78,49.23,0.87,0.84,0.76,4.7,every_lecture,partial,1,0,0.68,1,1,4,0,0,3.8,35,none,2,1,4,5,4,4.2,none,0.46,2
Wave_3,Web,Sep 2024,Sep 2025,M,intermediate,33,85.61,75.42,88.95,0.36,0.87,0.41,7.5,sometimes,mostly,0,1,0.5,0,1,3,1,1,3.8,21,none,1,0,4,4,3,6.5,school,0.76,2
Wave_4,C++,Mar 2025,Mar 2026,M,intermediate,22,75.74,56.08,53.47,0.93,0.8,0.34,17.8,sometimes,all,1,1,0.74,0,1,5,0,1,8.5,87,frequent,4,1,2,3,5,6,school,0.73,2
Wave_2,AI,Mar 2024,Mar 2025,M,beginner,14,68.29,77.45,53.43,0.68,0.97,0.85,19.9,sometimes,mostly,1,1,0.87,1,0,3,0,0,9.4,58,frequent,3,0,2,2,3,7.2,school,0.94,2
Wave_3,DevHack,Sep 2024,Sep 2025,F,intermediate,29,64.71,64.56,72.22,0.87,0.31,0.62,8.6,every_lecture,mostly,1,1,0.56,2,0,5,0,0,2.8,66,light,2,1,2,1,3,7.1,school,0.41,4
Wave_4,Web,Mar 2025,Mar 2026,M,beginner,21,60.93,73.12,75.58,0.62,0.44,0.34,10.1,mostly,all,1,0,0.48,0,0,2,1,0,5.6,36,frequent,4,1,3,4,4,4.6,school,0.83,5
